Day,NewCases,NewDeaths,Hospitalizations,PatientsMechanicalVentilation,TotalCases,TotalDeaths
1,119,10,303,54,290785,14828
2,125,11,286,58,290910,14839
3,135,9,299,53,291045,14848
4,122,8,306,56,291167,14856
5,121,8,304,53,291288,14864
6,118,7,300,57,291406,14871
7,129,8,313,56,291535,14879
8,158,9,301,52,291693,14888
9,171,10,285,53,291864,14898
10,146,10,298,57,292010,14908
11,152,6,283,54,292162,14914
12,126,8,267,55,292288,14922
13,72,6,266,56,292360,14928
14,116,5,266,55,292476,14933
15,109,6,269,57,292585,14939
16,119,5,265,58,292704,14944
17,126,6,269,53,292830,14950
18,125,5,278,53,292955,14955
19,110,3,266,48,293065,14958
20,81,3,251,47,293146,14961
21,113,6,253,44,293259,14967
22,148,3,249,45,293407,14970
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
